original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
The Diary of a Teenage Girl,2015-08-28,"Comedy, Drama, Romance",102,USA,English,Marielle Heller,"Phoebe Gloeckner, Marielle Heller","Bel Powley, Willie, Kristen Wiig, Abby Wait, Alexander Skarsgård, Miranda Bailey, Carson Mell, John Parsons, Madeleine Waters, Austin Lyon, Quinn Nagle, Davy Clements, Charles Lewis III, David Fine, Susannah Rogers",A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,6.9,29010,2000000,1775133,101,-224867
Honeymoon,2014-09-12,"Horror, Mystery, Thriller",87,USA,English,Leigh Janiak,"Phil Graziadei, Leigh Janiak","Rose Leslie, Harry Treadaway, Ben Huber, Hanna Brown, Bob Harrison, John Lauterbach, Peter Leo",A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,5.7,24005,1000000,24343,140,-975657
"Men, Women & Children",2014-10-17,"Comedy, Drama",119,USA,English,Jason Reitman,"Chad Kultgen, Jason Reitman","Adam Sandler, Jennifer Garner, Rosemarie DeWitt, Judy Greer, Dean Norris, Emma Thompson, Timothée Chalamet, Olivia Crocicchia, Kaitlyn Dever, Ansel Elgort, Katherine Hughes, Elena Kampouris, Will Peltz, Travis Tope, David Denman","A group of high school teenagers and their parents attempt to navigate the many ways the Internet has changed their relationships, their communications, their self-images, and their love lives.",6.7,29955,16000000,1705908,96,-14294092
The Boy Next Door,2015-07-23,"Horror, Thriller",91,USA,English,Rob Cohen,Barbara Curry,"Jennifer Lopez, Ryan Guzman, Ian Nelson, John Corbett, Kristin Chenoweth, Lexi Atkins, Hill Harper, Jack Wallace, Adam Hicks, François Chau, Bailey Chase, Kent Avenido, Travis Schuldt, Brian Mahoney, Raquel Gardner","A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",4.7,37341,4000000,52425855,163,48425855
Fantastic Beasts and Where to Find Them,2016-11-17,"Adventure, Family, Fantasy",132,"UK, USA",English,David Yates,J.K. Rowling,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck, Tristan Tait, Colin Farrell, Tom Clarke Hill, Matthew Sim, Katherine Waterston, Samantha Morton, Dan Fogler, Ezra Miller, Faith Wood-Blagrove, Jenn Murray, Cory Peterson",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,7.3,398554,180000000,814038508,824,634038508
Insidious: Chapter 3,2015-06-03,"Horror, Mystery, Thriller",97,"Canada, UK, USA",English,Leigh Whannell,"Leigh Whannell, Leigh Whannell","Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell, Lin Shaye, Tate Berney, Michael Reid MacKay, Steve Coulter, Hayley Kiyoko, Corbett Tuck, Tom Fitzpatrick, Tom Gallop, Jeris Poindexter, Ele Keats, Phyllis Applegate",A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous supernatural entity.,6.1,90827,10000000,112983889,244,102983889
Palmeras en la nieve,2015-12-25,"Drama, Romance",163,Spain,Spanish,Fernando González Molina,"Sergio G. Sánchez, Luz Gabás","Mario Casas, Adriana Ugarte, Macarena García, Alain Hernández, Berta Vázquez, Djédjé Apali, Daniel Grao, Kimbo, Fernando Cayo, Celso Bugallo, Petra Martínez, Luis Callejo, José Manuel Poga, Serge Happi, Michael Batista","After the death of her father, a young Spanish woman discovers a partial letter. As she searches for the answers, she embarks on a journey that takes her back to Africa, where she unfolds the secrets of her family.",7.4,10087,10600000,18428235,31,7828235
Trumbo,2016-02-11,"Biography, Drama",124,USA,English,Jay Roach,"John McNamara, Bruce Cook","Bryan Cranston, Michael Stuhlbarg, David Maldonado, John Getz, Diane Lane, Laura Flannery, Helen Mirren, David James Elliott, Toby Nichols, Joseph S. Martino, Madison Wolfe, Jason Bayle, James DuMont, Alan Tudyk, Louis C.K.","Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.",7.5,74712,15000000,11430025,216,-3569975
Slow West,2016-08-01,"Action, Adventure, Drama",84,"UK, New Zealand",English,John Maclean,John Maclean,"Kodi Smit-McPhee, Caren Pistorius, Aorere Paki, Jeffrey Thomas, Hayden Frost, Kieran Charnock, Michael Fassbender, Joseph Passi, Sam Manzanza, Tawanda Manyimo, David T. Lim, Bryan Michael Mills, Madeleine Sami, Eddie Campbell, Ben Mendelsohn","A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.",6.9,41803,2000000,1295574,150,-704426
Son of God,2014-02-28,"Biography, Drama, History",138,USA,English,Christopher Spencer,"Richard Bedser, Christopher Spencer","Diogo Morgado, Greg Hicks, Adrian Schiller, Darwin Shaw, Sebastian Knapp, Joe Wredden, Simon Kunz, Paul Marc Davis, Matthew Gravelle, Amber Rose Revah, Roma Downey, Paul Knops, Darcie Lincoln, David Rintoul, Gary Oliver","The life story of Jesus is told from his humble birth through his teachings, crucifixion and ultimate resurrection.",5.7,18152,22000000,70829270,187,48829270
I Am Wrath,2016-04-15,"Action, Crime, Drama",92,USA,English,Chuck Russell,"Paul Sloan, Yvan Gauthier","John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell, Patrick St. Esprit, Rebecca De Mornay, Asante Jones, Paul Sloan, Luis Da Silva Jr., Jordan Whalen, Jayden Blake Cochran, Caroline Kane, Robert Forte Shannon III, Stacy Levi, James Logan",A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,5.4,13093,18000000,228631,145,-17771369
Incarnate,2017-02-08,"Horror, Thriller",87,USA,English,Brad Peyton,Ronnie Christensen,"Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Petra Sprecher, Breanne Parhiala, Emjay Anthony, Vanya Asher, Karolina Wydra","A scientist with the ability to enter the subconscious minds of the possessed must save a young boy from the grips of a demon with powers never seen before, while facing the horrors of his past.",5.3,11266,5000000,9037058,66,4037058
A Beautiful Day in the Neighborhood,2019-11-22,"Biography, Drama",109,"China, USA",English,Marielle Heller,"Micah Fitzerman-Blue, Noah Harpster","Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson, Maryann Plunkett, Enrico Colantoni, Wendy Makkena, Tammy Blanchard, Noah Harpster, Carmen Cusack, Kelley Davis, Christine Lahti, Maddie Corman, Daniel Krell, Jon L Peacock",Based on the true story of a real-life friendship between,7.3,50284,25000000,67760877,585,42760877
Risen,2016-03-17,"Action, Drama, History",107,USA,English,Kevin Reynolds,"Kevin Reynolds, Paul Aiello","Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis, María Botto, Luis Callejo, Antonio Gil, Richard Atwill, Stewart Scudamore, Andy Gathergood, Stephen Hagan, Mish Boyko, Jan Cornet, Joe Manjón, Pepe Lorente","In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of",6.3,24616,20000000,46432579,198,26432579
It Follows,2016-07-06,"Horror, Mystery, Thriller",100,USA,English,David Robert Mitchell,David Robert Mitchell,"Bailey Spry, Carollette Phillips, Loren Bass, Keir Gilchrist, Maika Monroe, Lili Sepe, Charles Gertner, Debbie Williams, Olivia Luccardi, Jake Weary, Daniel Zovatto, Ruby Harris, Leisa Pulido, D.J. Oliver, Linda Boston",A young woman is followed by an unknown supernatural force after a sexual encounter.,6.8,203299,1000000,21528593,1008,20528593
Survivor,2015-05-21,"Action, Crime, Thriller",96,"USA, UK",English,James McTeigue,Philip Shelby,"Paddy Wallace, Parker Sawyers, Bashar Rahal, Royce Pierreson, Ben Starr, Sean Teale, Regé-Jean Page, Jing Lusi, Antonia Thomas, Milla Jovovich, Dylan McDermott, Frances de la Tour, Robert Forster, Jerry-Jane Pears, Roger Rees","A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York City, but is forced to go on the run when she is framed for crimes she did not commit.",5.6,30618,20000000,3839100,149,-16160900
La isla mínima,2015-12-03,"Adventure, Crime, Mystery",105,Spain,Spanish,Alberto Rodríguez,"Rafael Cobos, Alberto Rodríguez","Javier Gutiérrez, Raúl Arévalo, María Varod, Perico Cervantes, Jesús Ortiz, Jesús Carroza, Salva Reina, Antonio de la Torre, Nerea Barros, Ana Tomeno, Paula Palacios, Claudia Ubreva, Lucía Arias, Chelo Castro, Jesús Castro",Two cops lost in the deep south of Spain. One serial killer to catch. A lot of secrets and lies to disclose.,7.3,29614,4240000,9014591,62,4774591
Loving Vincent,2017-10-16,"Animation, Biography, Crime",94,"Poland, UK, USA, Switzerland, Netherlands",English,"Dorota Kobiela, Hugh Welchman","Dorota Kobiela, Hugh Welchman","Douglas Booth, Josh Burdett, Holly Earl, Robin Hodges, Chris O'Dowd, John Sessions, Helen McCrory, Eleanor Tomlinson, Aidan Turner, Saoirse Ronan, Joe Stuckey, James Greene, Martin Herdman, Bill Thomas, Jerome Flynn","In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",7.8,48412,5300000,42187665,205,36887665
Sully,2016-12-01,"Biography, Drama",96,USA,English,Clint Eastwood,"Todd Komarnicki, Chesley Sullenberger","Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington, Mike O'Malley, Jamey Sheridan, Anna Gunn, Holt McCallany, Ahmed Lucan, Laura Linney, Laura Lundy, Onira Tares, Gary Weeks, Katie Couric, Jeff Kober","The story of Chesley ""Sully"" Sullenberger (",7.4,229971,60000000,240797623,480,180797623
Heist,2015-11-11,"Action, Crime, Drama",93,USA,English,Scott Mann,"S. Cyrus Sepher, Max Adams","Robert De Niro, Jeffrey Dean Morgan, Dave Bautista, Kate Bosworth, Gina Carano, Morris Chestnut, Lydia Hull, Mark-Paul Gosselaar, S. Cyrus Sepher, D.B. Sweeney, Tyler Jon Olson, Alyssa Julya Smith, Hawn Tran, Christopher Rob Bowen, Renell Gibbs","A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",6.1,27206,8900000,3777046,105,-5122954
Il racconto dei racconti - Tale of Tales,2015-05-14,"Drama, Fantasy, Horror",134,"Italy, France, UK",English,Matteo Garrone,"Edoardo Albinati, Ugo Chiti","Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly, Shirley Henderson, Hayley Carmichael, Bebe Cave, Stacy Martin, Christian Lees, Jonah Lees, Laura Pizzirani, Franco Pistoni, Jessie Cave, Michael Martini, Alessandro Campagna","From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile.",6.4,25884,12720000,5497104,121,-7222896
Little Women,2020-01-09,"Drama, Romance",135,USA,English,Greta Gerwig,"Greta Gerwig, Louisa May Alcott","Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Jayne Houdyshell, Chris Cooper, Meryl Streep, Rafael Silva, Mason Alban","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",7.8,122387,40000000,216601214,897,176601214
Welcome to Marwen,2019-01-10,"Biography, Comedy, Drama",116,"Japan, USA",English,Robert Zemeckis,"Robert Zemeckis, Caroline Thompson","Steve Carell, Falk Hentschel, Matt O'Leary, Nikolai Witschl, Patrick Roccas, Alexander Lowe, Eiza González, Leslie Zemeckis, Merritt Wever, Gwendoline Christie, Stefanie von Pfetten, Janelle Monáe, Leslie Mann, Neil Jackson, Samantha Hum",A victim of a brutal attack finds a unique and beautiful therapeutic outlet to help him through his recovery process.,6.2,17916,39000000,13061491,241,-25938509
Equals,2016-08-03,"Drama, Romance, Sci-Fi",101,"USA, Indonesia",English,Drake Doremus,"Nathan Parker, Drake Doremus","Nicholas Hoult, Vernetta Lopez, Scott Lawrence, Kate Lyn Sheil, Kristen Stewart, Rebecca Hazlewood, Yu Hwan Park, Bel Powley, David Selby, Aurora Perrineau, Nathan Parker, Jessica Lois, Seth Adams, Dennis Shin, Guy Pearce","In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society.",6.1,26855,16000000,2084628,142,-13915372
Hrútar,2015-11-12,"Comedy, Drama",93,"Iceland, Denmark, Norway, Poland",Icelandic,Grímur Hákonarson,Grímur Hákonarson,"Sigurður Sigurjónsson, Theodór Júlíusson, Charlotte Bøving, Jón Benónýsson, Gunnar Jónsson, Sveinn Ólafur Gunnarsson, Þorleifur Einarsson, Ingrid Jónsdóttir, Jörundur Ragnarsson, Viktor Már Bjarnason, Ólafur Ólafsson, Jenný Lára Arnórsdóttir, Guðrún Sveinbjörnsdóttir, Sigurlína Tryggvadóttir, Þorsteinn Gunnar Bjarnason","In a remote Icelandic farming valley, two brothers who haven't spoken in 40 years have to come together in order to save what's dearest to them - their sheep.",7.3,12350,1855000,1826583,39,-28417
HHhH,2019-01-24,"Action, Biography, Thriller",120,"USA, France, UK, Belgium, Germany",English,Cédric Jimenez,"Laurent Binet, David Farr","Jason Clarke, Rosamund Pike, Jack O'Connell, Jack Reynor, Mia Wasikowska, Stephen Graham, Thomas M. Wright, Barry Atsma, Geoff Bell, Enzo Cilenti, David Horovitch, Abigail Lawrie, David Rintoul, Ian Redford, Adam Nagaitis","As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate",6.4,13235,29468000,4412639,47,-25055361
London Has Fallen,2016-03-03,"Action, Thriller",99,"UK, Bulgaria, USA",English,Babak Najafi,"Creighton Rothenberger, Katrin Benedikt","Alon Aboutboul, Waleed Zuaiter, Adel Bencherif, Mehdi Dehbi, Shivaani Ghai, Martin Petrushev, Owen Davis, Gerard Butler, Aaron Eckhart, Michael Wildman, Radha Mitchell, Lucy Newman-Williams, Julian Kostov, Stacy Shane, Penny Downie","In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",5.9,141509,60000000,205754447,572,145754447
Youth,2015-05-20,"Comedy, Drama, Music",124,"Italy, France, UK, Switzerland",English,Paolo Sorrentino,Paolo Sorrentino,"The Retrosettes, Gabriella Belisario, Laura De Marchi, Rachel Weisz, Paul Dano, Harvey Keitel, Alex Macqueen, Michael Caine, Ian Attard, Adam Jackson-Smith, Dorji Wangchuk, Roly Serrano, Loredana Cannata, Mãdãlina Ghenea, Mark Kozelek",A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.,7.3,70094,13038000,23459358,166,10421358
Logan,2017-03-01,"Action, Drama, Sci-Fi",137,USA,English,James Mangold,"James Mangold, Scott Frank","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant, Elizabeth Rodriguez, Richard E. Grant, Eriq La Salle, Elise Neal, Quincy Fouse, Al Coronel, Frank Gallegos, Anthony Escobar, Reynaldo Gallegos, Krzysztof Soszynski","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",8.1,627493,97000000,619021436,1574,522021436
American Ultra,2016-06-30,"Action, Comedy",96,"USA, Switzerland",English,Nima Nourizadeh,Max Landis,"Jesse Eisenberg, Kristen Stewart, Topher Grace, Connie Britton, Walton Goggins, John Leguizamo, Bill Pullman, Tony Hale, Stuart Greer, Michael Papajohn, Monique Ganderton, Nash Edgerton, Paul Andrew O'Connor, Freddie Poole, Ilram Choi",A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,6.1,82946,28000000,27262374,225,-737626
Still Alice,2015-01-16,Drama,101,"USA, UK, France",English,"Richard Glatzer, Wash Westmoreland","Richard Glatzer, Wash Westmoreland","Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish, Alec Baldwin, Seth Gilliam, Kristen Stewart, Stephen Kunken, Erin Darke, Daniel Gerroll, Quincy Tyler Bernstine, Maxine Prescott, Orlagh Cassidy, Rosa Arredondo, Zillah Glory",A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.,7.5,124366,5000000,44779195,250,39779195
Concussion,2016-04-21,"Biography, Drama, Sport",123,"UK, Australia, USA",English,Peter Landesman,"Peter Landesman, Jeanne Marie Laskas","Will Smith, Alec Baldwin, Albert Brooks, Gugu Mbatha-Raw, David Morse, Arliss Howard, Mike O'Malley, Eddie Marsan, Hill Harper, Adewale Akinnuoye-Agbaje, Stephen Moyer, Richard T. Jones, Paul Reiser, Luke Wilson, Sara Lindsey","In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.",7.1,84587,35000000,48623572,195,13623572
